Timestamp,class,credits,diet,sleep,dating_pref,sex,study,birthday,haircut,shoes,nervous,siblings,which_tire,height,speed,years_in_wa,snapchat,insta,travel,salary,breakfast,eyewear,rent,climate_worry
3/27/2024 15:50:17,Sophomore,14,No,9,No,Female,15,Thursday,30,12,4,1,right front,65,120,20,125,1000,9,"15,000",No,Yes,"1,300",A great deal
3/27/2024 15:53:47,Sophomore,14,No,7.5,No,Male,25,Saturday,40,5,1,1,right front,72,150,0,0,890,4,0,No,No,1670,Not al all
3/27/2024 15:58:54,Sophomore,15,Yes,8,No,Male,7,Monday,20,3,2,1,left front,68,80,16,100,1000,4,0,Yes,Yes,1300,A great deal
3/27/2024 22:48:41,Sophomore,15,No,8,No,Female,25,Monday,30,3,4,1,right back,64,100,19,0,1100,8,8000,No,Yes,1000,A great deal
3/27/2024 23:38:22,Sophomore,15,No,9,No,Female,10,Thursday,20,8,4,1,left front,67,85,9,0,200,20,7000,Yes,No,0,A great deal
3/28/2024 2:00:31,Junior,16,No,7,yes,Male,30,Saturday,70,11,2,3,right back,75,115,21,46,0,2,0,No,No,0,A little
3/28/2024 12:35:44,Junior,13,No,7,No,Female,10.5,Sunday,65,7,3,0,right back,62,75,2,300,1000,5,n/a,No,Yes,n/a,A little
3/28/2024 14:06:12,Senior,14,No,6,yes,Female,6,Friday,40,5,3,0,right back,64,NA,2,0,11,3,4580,No,Yes,850,Somewhat
3/28/2024 14:37:44,Freshman,17,No,8,No,Female,20,Sunday,100,7,4,1,right front,5,60,4,0,50,3,2000,No,Yes,1500,Somewhat
3/28/2024 14:41:32,Sophomore,18,No,8,yes,Male,10,Friday,20,8,2,4,left front,69,70,20,0,150,6,5000,Yes,Yes,0,A great deal
3/28/2024 15:38:01,Junior,13,No,5,No,Male,6,Saturday,60,7,2,1,right back,66,105,14,0,I don't know how to count this.,5,16000,No,No,1200,A great deal
3/28/2024 15:41:03,Junior,14,No,8,No,Male,10,Tuesday,50,6,2,1,right back,72.99,95,1,200,650,7,0,No,Yes,1330,Somewhat
3/28/2024 16:36:26,Senior,15,No,8,No,Female,15,Saturday,70,11,3,1,right back,5.6,NA,3,0,187,5,0,No,Yes,1352,A great deal
3/28/2024 18:13:08,Sophomore,18,Sometimes,5,yes,Female,5,Thursday,5,4,4,1,left front,66,105,2,72,161,16,5000,No,No,1409,A great deal
3/28/2024 18:32:51,Freshman,18,No,7,No,Male,NA,Wednesday,180,10,3,1,right back,70,75,1,1,3,4,0,No,Yes,1550,Somewhat
3/29/2024 0:30:26,Sophomore,16,No,8,yes,Female,40,Tuesday,40,25,3,0,right front,63,90,1,105,529,21,200,Yes,No,"1,704",A great deal
3/29/2024 10:40:36,Senior,10,Sometimes,7,yes,Male,15,Friday,30,10,1,2,right front,71,110,29,0,0,44,0,Yes,No,own,A great deal
3/29/2024 15:35:53,Freshman,15,No,7.5,No,Male,12,Sunday,55,10,2,1,left front,76,90,16,124,684,12,1200,No,No,1500,A great deal
3/29/2024 15:47:50,Freshman,15,No,7,yes,Male,10,"Wednesday, Friday",300,6,1,7,left front,72,93,0,0,790,6,10750,No,Yes,1675,A little
3/31/2024 11:14:23,Senior,10,No,7.5,yes,Male,10,Friday,20,1,1,2,right back,60,NA,20,0,0,12,0,Yes,No,"$1,300",Somewhat
4/1/2024 4:08:00,Junior,15,Sometimes,6,No,Female,23,Friday,30,7,3,1,left front,63,65,5,0,0,7,"10,000",Yes,Yes,940,A great deal
4/1/2024 16:35:32,Junior,5,No,6,No,Male,5,Thursday,80,8,3,1,left front,73,110,21,200,600,13,0,Yes,No,1100,A great deal
4/2/2024 15:34:45,Junior,14,No,8,yes,Male,6,Sunday,30,4,1,3,left front,66,90,6,283,310,10,7150,No,No,880,Somewhat
4/3/2024 11:13:30,Junior,13,No,9,yes,Female,44,Sunday,230,17,1,1,left back,60,65,15,0,724,14,2920.68,No,No,0,Somewhat
